스팟아이디,스팟명,오디오명,대본내용,재생시간(초)
201707,韓式銅,韓式銅,"[博士] 今ごのは、銅器時代を代表する遺物のひとつ、銅です。[者]ついに銅の登場ですね。博士、えてください。銅器時代に銅が一般的じゃなかった理由を。[博士]銅は、自然の態ですぐに手にはいるものではなく、採光、合金、造という工程の高度な技術を必要とします。そのため、銅は非常に貴重なもので、族長のような力を持った少の支配階級だけが持っていました。一般の人は、石のを使いました。[者]そうですか。ところで、持ち手があんなに短くて、しっかり握れるんでしょうか。[博士]ははは、先のとがった下の部分は、持ち手ではなく柄にはめるんです。木でできた柄は腐ってなくなり、刃だけがったのです。[者] もう一つ質問があります。最初からになっていたんですが、どうして銅色ではないんでしょうか。どう見ても色のですが。[博士]ははは、韓半島の銅器は、紀元前1000年前から始まったものと推定されています。長い年月をて腐食しているため、色になっているんです。元は、輝く銅色だったのでしょう。[者]銅器時代の族長がぴかぴかの銅を腰につけている姿は、かなりかっこ良かったでしょうね。[博士]そうですね。銅は、力誇示のためでもあったと思います。銅器時代の族長の必需品を、もうひとつ見てみましょう。",114
201708,粗文鏡,王の象、銅鏡,"[博士]ここに見える銅器時代の族長の遺物は何でしょうか。[者]あ！分かりました。これは盾ですね。古代ギリシャでも、士がいでこの盾を使いました。さっきの銅とセットですね[博士]盾にしては、ちょっと小さくないですか。これは、銅の鏡なんです。[者]えこれが鏡ですか。　飾りばかり多くて、顔は全然見えませんけど。[博士]見えなくてたり前です。今見ている方が、鏡の裏面ですからね。[者]えこっちが鏡の裏面ですか。[博士]そうです。ここだけでなく、ほとんどの博物館では銅鏡は主に裏側が展示されています。鏡の裏面にな柄や、文字などが華やかに飾られているからです。では、見てください。太いラインが三角形を描いて粗く描かれています。それで、名前が粗文鏡というんですよ。[者]あ、では鏡の前面はどうなっているんですか。　現在の鏡のように、ガラスが付いているわけじゃないですよね[博士]そうですね。しかし、銅鏡の前面は、背面とは異なり柄や飾がなく、滑らかで光をよく反射できるように作られました。それで、鏡の役割を果たすことができたのです。もちろん、この鏡も千年をて腐食し、色をびていますが、時は銀色をびていたことでしょう。[者]鏡だから、やっぱり女性が必要だっただろうし、族長の妻や女性の族長が持っていたのではないでしょうか。[博士]うん、そうかもしれませんね。しかし、時の銅鏡は、顔を映す用途よりも重要な機能を持っていました。太陽と同じく丸い形で、太陽のように光が出たのです。太陽は生命の光でした。太陽の光が銅鏡に反射されると、人は銅鏡を使って太陽の光が地に降りてきたと思いました。[者]人は、銅鏡を持つ人を空から降りてきた人だと思ったんでしょうね。恐れてもいたでしょうし。[博士]その通りです。銅器時代の族長は、高いところに上がってこの銅鏡を胸につけ、かに演を行ったんでしょう。自分は天の神の息子だと自分にえとね。",169
201709,把形銅器の形と用途,把形銅器の形と用途,"[者] ここにユニクな形をした銅の遺物が見えますね。竹をに割ったように見えるこれのことです。形がユニクなのを見ると、非常に特別なところに使われたみたいです。 [博士] この遺物は、銅器時代の墓から出土した把形銅器ですが、何だかの柄の形みたいですよね。裏面はくぼんでいて空っぽの竹の中のようで、上下にはそれぞれのつまみがあって、他の物にかけられるようになっています。表面には何か模がありますね。[者]あ！銅器の表面に人の手が細かく刻まれていますね！[博士] 　はは、そうです。よく見つけましたね。とてもいです。[者]ところで、これはどのような用途で使われたんでしょうか。うん、うまくいけば腕にはめられるかもしれませんね、アムパッドみたいに。[博士] そうですね。腕につけていた鎧の飾品のようなもするし、銅のにつけた飾りのようなもするし。生活で使われる道具ではないようながします。重要な儀式で使われる物のようながしますが。これの正は、一何でしょうか。念なことに、いまだにその正確な用途は明らかになっていません。皆さんはどう思いますか。",98
201711,田富明標石,計新都市、泗,"平凡に見える石の塊が、博物館の展示室にあるのは何故でしょうか。大きな石の前に漢字が二文字刻まれているのが見えるでしょう。この文字は、百時代の行政地域のひとつを指すものです。この遺物は、百時代の行政域を指す標石だそうです。時は538年の春、時の王の力な意志により、百は公州（コンジュ）から扶余（ブヨ）に都を移すことになります。扶余は、徹底的に計され、準備された首都だったんですよ。　王宮を中心に大きな道が東西南北に伸び、車が通るのに便利なよう作られました。道のには水路を作り、大雨が降っても問題がないように排水施設を設置し、家屋もきちんと碁盤の目に配置したんです。10年以上、年間200万人を動員して新首都を造った結果でした。そして、新首都を5つの行政に分けたんです。時としては革新的な計新都市だった泗(サビ)を果的に統治するための制度でした。それまでは、百の行政制度はに文上だけで受けがれてきました。それが際に行われたかどうか確認する方法がなかったんですね。幸いなことに、この石の標石が見されたことによって、百の行政制度が「事」だったことが明されたのです。",113
201712,男性用の便器,百の生活相,"虎の子という名前のこの土器は、何に使う土器でしょうか。じっくり見てみましょう。後ろ足をやや曲げ、前足に力を入れて上を持ち上げ、左に頭を回した後、遠くを眺めて口を大きく開いた姿です。口の上、かわいく2つの鼻の穴が見え、丸い目が鮮明ですね。鼻の下とまぶたの下に眉とヒゲをそれぞれ彫りました。最近のキャラクタ用品が思い浮かびますね。背中の部分にある持ち手を見ると、持ち運びに便利なように作られたようです。酒の一種だったんでしょうか。酒を注いだにしては、鼻の部分がとても大きいですね。づきましたか。これは、は男性用トイレなんですよ。赤ちゃん虎の形のおまるを作り、その注入部分を口として表現した百の人の大らかなユモア感が感じられる遺物です。",81
201713,木簡,百の文書行政,"[ガイド] 第2展示室で、本格的に扶余時代の文化を見てみましょう。今ごの遺物は、百時代の木簡です。木簡とは、文字を記した薄い木の板のことを言います。 [者]紙は使わなかったみたいですね。[ガイド]紙は、紀元前1世紀頃、中で明されました。非常に貴重だったので、一般的には薄い木の板を使いました。[者]あそうなんですか。ところで、さっきからになっていることがあります。韓にはハングルがあるのに、ここに書かれているのは漢字ですね。[ガイド]ハングルは、1443年に創製されました。それ以前は漢字を使っていたんです。まるで中世ヨロッパでラテン語を使っていたように。とにかく、この木の板に書かれた記は、時の百の社像をえてくれます。そのうちのある木簡には、米を貸して利子を受け取ることにしたという容があるんですよ。[者] あ！百にも高利貸があったんですね！[ガイド]ははは。高利貸があったかは分かりませんがね。これはの行政文書です。つまり、の公文書ですね。では、凶年の時に民に米を貸していたのです。一種の救恤政策といったところでしょうか。そして、その木簡には、米を貸した民がどこに住んでいるのか、行政域による住所も記されているそうです。史書に登場する百の行政制度が、際に施行されていたことが分かりますね。[者]小さな木の板が、色んなことを語ってくれるんですね。",122
201714,百昌王銘石造利龕,百昌王銘石造利龕と昌王,"[者] 石で作ったこの遺物は何ですか。一見ポストのように見えますが。[ガイド]はは。これは、において神聖だった「利」を祀っていたものです。[者]あ、利！知ってます。や偉大な僧侶が涅槃後に火葬して、出てきた玉の形をした遺骨のことですよね[ガイド]ええ。そうです。中央に空間が見えますか。そこに利を保管しました。この遺物には、僧侶になろうとしていた百王の心痛む逸話がっているそうです。韓半島で3つの古代王が競していた三時代にってみましょう。時は6世紀中ごろ、百の太子は、先頭に立って韓半島の南東部に位置していた新羅を攻します。しかし、は百に不利な況になっていきました。すると、百の王が太子を助けるために新羅に向かう途中、れていた新羅軍の攻を受けて悲な最後を迎えます。[者]そんな！太子は、亡くなったお父さんのことで、とても辛かったでしょうね。[ガイド]そうですね。死んだ百の王は、百の首都を扶余に移し、再び百を韓半島の盟主の座へと押し上げた偉大な人だったんです。百としても念に違いなかったでしょう。太子が持っていた自責の念や絶望も、計り知れなかったことと思います。太子は、俗世とのを切って僧侶になることを決心しますが、臣下らの再三の引き止めによって、太子は結局王位に就くことになります。その後、567年、太子は姉と共に、父を追慕するための寺を建て、この利を入れておく棚の利龕に利を入れて供養したそうです。利龕に刻まれた漢字が、その容を物語っています。[者]ところで、利はどこにあるんですか。見えないんですが。[ガイド]念ながら、利と利を入れた器はありませんでした。しかし、利を奉安した年代と、供養者が誰なのかが分かり、寺の創建年代が確であるという点で非常に重要な値を持った遺物なんですよ。一見小さな石の塊のように見えますが、父を慕う子の切なさが感じられる遺物なんです。",167
201715,百金銅大香,東北アジアの香芸術の傑作、百金銅大香,"ついに登場です！今ごの遺物が、扶余博物館自慢の百金銅大香です。この史都市のシンボルでもあります。百の人の特の情と美しさが見られる、同時代の東アジアでも類が見られない名作です。驚くべきことに、この美しい香は1993年、光客用駐車場の工事現場で偶然見されたのです。泥の中から物が出てきたんですよ！武寧王陵の掘以降、百の美術史と考古最大の成果だと評されています。1400年ぶりに長い眠りからめた香は損傷もなく、本の形のままでした。掘時まで泥の中に密閉された態だったため、完璧に保存されていたのです。香が見された後、その周を追加掘しながら、そこが百王室のための寺があったことを知りました。そして、香がなる飾品ではなく、重要な儀式があるたびに使われた一種の祭祀用の香として使われたという事も明らかになりました。 日本を含めて古代エジプト、西洋の多くのでもお香を焚いて祭祀を執り行ったという記があります。これを見ると、東洋西洋ともに古代社では、何かを燃やして得た香りと煙は、非常に神聖視されていたことが分かります。 では、香をきちんと見てみましょう。香は、大きく4つの部分からなっています。鳥の柄のある一番上の部分と、煙が出てくるふた、そして華やかな模が刻まれた胴、龍の形の台です。まず、ふたの上に華やかで威のある姿で立っている鳥は、古代東洋で神聖とされた想像上の動物の鳳凰で、と共に神聖な力を持っていると信じられていました。香の上にある鳳凰の姿は、百芸術の洗練さをよく見せてくれています。特に、上に柔らかく伸びた長い尻尾は、細な工芸技術の集大成と言えます。次に、ふたの部分の山は、仙人が集まって暮らす世界を表現しています。色んな珍しい動物や花、そして天上の士が一に暮らす姿は、まるで天上の園を連想させますね。最後に、胴の部分は、まるできれる蓮のような姿をしていますが、これはすべての生物は、蓮の花から誕生するというの世界を象するものです。この香は、、自然世界、現と理想の境界を全て調和させ、時の百の人が夢見た理想の姿を完璧に表現しています。",196
201717,瑞山磨崖三尊像,百の微笑み、瑞山磨崖三尊,"ここは第3展示室の美術室で、百の人の宗と宗芸術を垣間見ることができる場所です。今ごの像は、扶余から少し離れた山の中腹に、海に向かって伸びる自然岩壁に彫刻されているものを再現したものです。7世紀に造られたものと推定されています。が始まったインドでも、がわったタイでも、日本と中でも像が作られました。しかし、像の姿はそれぞれ特がありますね。インドの像はインド人に似ているし、タイの像はタイ人に似ています。自分の顔に似せて像を作るのは、ごく自然なことでしょう。この磨崖は、百の人に似ているんですよ。ん中の迦如をごください。まん丸な顔に明るい微笑みを浮かべています。右側にある菩薩像は、子供のような笑みを浮かべ、左側の菩薩像は、うっすらと笑みを浮かべています。ん中の像からは、百の少年の顔。のを祀る菩薩像からは、百の少女の姿が思い浮かばれます。韓人は、この像を「百の微笑」と呼んでいます。際の自然岩壁に刻まれたこの三尊は、明るい朝の光を受けると、明るく爽やかな笑みを浮かべ、夕方に日が傾くとうっすらと慈悲深い笑みを浮かべるといいます。太陽の光が照らす角度によって微笑みがわるんですね。展示室の中は、本の日光ではありませんが、ライトが角度をえながら回って像を照らしているそうです。ライトの角度によってわる微笑みが感じられますか。",133
201718,金銅菩薩立像,やわらかい微笑み、軍守里金銅勒菩薩立像,"現在、ごの小さな像は、金銅で作られた菩薩立像です。 菩薩は、上はにい、下は衆生を導く修行者です。キリストの十二弟子のような存在だと言えます。菩薩は、石で作った冠をかぶり、腕輪やブロチのような身具を身につけた華やかな姿をしています。俗世の人が親しみやすいよう、よりも人間に近い姿をしているのです。の菩薩の中、今ごになっているのは、勒菩薩です。混した世の中を救うために天から降りてきて衆生を救い、新たな世界を作るという菩薩ですね。勒は、特に民衆に高い人を誇りました。現世で生きるのが辛い自分に、いつか勒菩薩がて助けてくれるという信念のためだったんです。勒は、平和な時期よりも社的激期の民衆が多く求められました。この像が作られた6世紀の百も混期でした。勒菩薩は、長年ので苦しんでいる民衆にとって、唯一の慰めだったのです。では、百の人たちが救いを待っていた勒菩薩は、どんな姿なのか見てみましょう。頭には、3峰山の形の冠をかぶり、顔の左右にが肩まで長く伸びています。丸くい顔にぴんと張ったほっぺたからは、躍動感が感じられます。下に向かって半分開いた目に、唇は端をく上げ、うっすらと笑みを浮かべています。百の人たちが待っていた救者は、い救者よりも、ごの彫刻像のようにやわらかい微笑で子を見つめる母親のような救者だったのです。",141
201719,金銅光背,特の形と優れた造形美の金銅光背,"[ガイド]今ごの華やかな円形の金銅遺物は、何だと思いますか。[者 ]百王が使っていた金銅の皿ではないでしょうか。食べ物をここに盛り付けて食べたみたいですね。[ガイド]ここは、美術室ですよね。これは光背と言って、から出てくるという光を形象化したものなんです。の頭の背部を飾ったものです。[者]あ！そうですね。キリストや聖母マリアのにも、頭の後ろに丸い円が描かれています。[ガイド]ええ。そうですね。偉大な人の頭の後ろから出てくるという後光を表現したものなんです。この華やかな飾りは、2000年に寺があった場所から見されたそうです。[者] あ、そうですか。ところで、像はどこですか。[ガイド]念ながら像は見されず、この飾りだけが見されたそうです。しかし、この飾りだけでも百の華やかで精巧な工芸が感じられます。それでは、今からのあらたかな光を詳しく感じてみましょう。金銅の版をノミとノコギリで切り出して模を作りました。円形型の光背は、蓮の花柄などが華やかに飾られた正面とは別に、また別の金板を使って、背面をくっつけたユニクな形です。光背の中心部に、四角形の穴が開いているのが見えますか。[者]あ！この穴で像の頭とつなげたんですね。[ガイド]はい。そうです。金銅の光背の前面に、華やかなを象する花である蓮の花模が円形を成しています。その外側には、延とく唐草模がリズミカルに彫刻されています。光背がこんなに華やかで精巧なんだから、像は果たしてどうだったか、一度想像してみてください。",139
201720,銅小塔,百の建築,"ごの遺物は長さ13.7cm、高さ5.2cmの小さな銅の塔の破片です。完全な塔ではなく破片ですが、この博物館の展示室を占めている理由は、この小さな破片が百の建築の一面を見せてくれる貴重な鍵となっているからです。念ながら、百時代の建築物は石塔2基を除きっていません。ほとんどの建築物が木製なので、幾度ものをて、燃えきてしまったそうです。そのため、百の建築については分からないままでした。そんな時、この銅の破片が見されました。破片とはいえ、屋根、軒、柱など主な建築構造がすべてめられたタイムカプセルのようなものだったんですね。詳しく見ていきましょう。瓦が整然とぶ屋根が見えますね。そして、軒先の若干の反、四隅に2つの飾瓦がっています。頂上には手すりを巡らしました。四隅には柱を一つずつ立て、その間にも2本の柱を置きましたね。扶余博物館から車で10分ほど離れた百文化地には、約3,276千㎡の敷地に百時代の王宮や寺院などが再現されており、この銅小塔の建築式に基づいて作業が行われたんだそうです。もし、この銅小塔が見されなかったら、百文化の復元事業は不可能だったでしょうね。",119
201721,窺岩面金銅觀世音菩薩立像,洗練された美しさ、金銅觀世音菩薩立像,"百の人の信仰がめられた像を、もう一つ見てみましょう。今ごの小さな像は、金銅でできた世音菩薩立像です。先ほど申し上げたように、菩薩は、上はにい、下は衆生を導く修行者です。菩薩は、石で作った冠をかぶり、腕輪やブロチのような身具を身につけた華やかな姿をしています。俗世の人が親しみやすいよう、よりも人間に近い姿をしているのです。菩薩にも種類がありますが、今ごの菩薩は世音菩薩です。世音菩薩は、世の中すべての人のに耳を傾け、苦しむ人を救います。勒菩薩と共に古くから東アジア地域で人のある菩薩なんです。東アジアの人たちは、辛いことがあったり生活が苦しい時は、「世音菩薩」と念を唱えたそうです。百の人たちも同じだったでしょう。百の人が心の癒しを求めた世音菩薩はどんな姿だったのか、一に見てみましょう。ふくよかにぽっちゃりした顔にうっすらと浮かべた笑みが見えますか。もとてもすらりとしていますね。服がに密着していて力あるスタイルが見え、右膝を少し曲げているのがとても魅力的です。肩の後ろから流れるようなを左手でそっとつかみ、右手には玉を持ち上げています。さらに、ボリュム感のありい重弁花の蓮の花の台座まで、本に細ですね。この世音菩薩像は、百の優雅で端麗な美しさを余すところなく見せてくれています。",132
201722,砂宅智積碑,砂宅智積、流れ行く月を嘆き、石碑を建てる,"[ガイド]今ごのものは、扶余近くの山の石山の中で見された石碑です。7世紀中頃の百の理大臣にあたる務理を務めた貴族の石碑です。[者]漢字が書かれていますね。[ガイド]一度んで見ますね。「太陽が簡に行くことを嘆き、月は苦してってくることが恨めしく、金を掘って貴重な家を建て、玉を掘り出して尊い塔を建て、その高く慈しみ深い姿は、あらたかな光を吐き出し、雲を送るようで」ちょっと難しかったですか。[者]「太陽が簡に行くことを嘆く」か過ぎ行く月への嘆きでしょうか。[ガイド]そうです。百の理にまで上り詰めた人物である石碑の主人も、居後すっかり年をとってしまい、月に人生のはかなさを感じたようです。結局、に依して寺を建てるという容で終わっています。[者]そうですか。本に人生とは、あっという間に過ぎていく影に過ぎないんですね。",88
201723,七支刀,百の秘密の門、七支刀,"[ガイド]　 今ごのものは、七支刀という刀です。[客] 今までとは刀の形がかなり違いますね。サボテンのようになっています。[ガイド] 刀の形を見ると、ん中に長い刀の胴があり、脇に3つずつある刃が木の枝の形にずれてついていますね。七支刀は、7つの木の枝という意味で、このように刃と胴を合わせて七つの枝という意味を持っています。[客] ふむ、作るのは大だったでしょうね。[ガイド] はは、そうですね。刀の前面に刻まれている文字を見ると、「を百回叩いて作った」と書かれています。一般的な刀のように一字型ではなく、左右に6つの刃がついている姿がユニクです。[客] そうですね。でも、どうしてこんなものを作ったんですか。[ガイド] 七支刀の裏面にその理由が刻まれています。百の王が、日本の王にプレゼントするために作ったものなんです。",79
20188,蘿井の入口にて,新羅の建神話が息づく地、蘿井,[先生]ここは新羅の最初の統治者、朴赫居世(パクヒョッコセ)が生まれたとえられる「蘿井(ナジョン)」という井です。[生]新羅の最初の統治者ですって[先生]はい。新羅が建される前、慶州(キョンジュ)にはそれぞれ違った名字を持った6つの部族が住んでいましたが、それらの部族に同盟を結ばせて、最初の統治者となった人が朴赫居世です。朴赫居世以降、朴(パク)、昔(ソク)、金(キム)の３つの名字が交代で王位をいだんです。[生]そうなんですか。でも、何で新羅は３つの名字が交替で王位をいだんですか[先生]家が成立して間もない頃は統治者の力がくありません。その上、新しい文化を持って移住してくる人の勢力をまとめたり、時には外部の勢力に押し出されたりもしたらしいんです。結局、新羅の初期には王が弱くて、持ち回りで王位を承したといえるでしょう。その中で最初に力を握った人が朴赫居世です。それでは蘿井に行ってみましょう。,84
20189,蘿井の現場にて,蘿井の掘現場,"蘿井(ナジョン)とは、ツタの生い茂った井という意味です。新羅の最初の統治者、朴赫居世(パクヒョッコセ)誕生のが宿る所です。現在、掘調査は終わりましたが、復元されてはおらず、跡地だけがっている態なんです。 掘時、井の跡地やい、それから排水路などが見されました。  中央にある円形の跡地をご下さい。ここで八角形の建物の跡と祭りごとに使われた土器が見されましたが、ここ蘿井に朴赫居世のための御屋を建てたものと推定されています。  また蘿井の周から銅器時代の家の跡も見つかっていて、時、銅器時代にも人が住んでいたことが分かります。  朴赫居世は、ここを中心として多くの村をまとめて、千年間くことになる新羅時代の幕を開けることとなりました。  それでは、卵から生まれたといわれる朴赫居世誕生のを聞いてみましょう。",78
20221,臨流閣,宴が行なわれていた臨流閣,この臨流閣(イムニュガク)と呼ばれる閣は現代に至り再建されたものです。1980年、掘調査により、山城の中に臨流閣と推定される場所が見つかりました。そしてその跡にされている建物の構造や史的記を基に再建作業が行なわれました。「三史記百本紀」という史書によると、臨流閣は西500年に建てられ、高さが15メトルにもなったといいます。それに合わせて再建された建物は2階建てで、非常に大きく豪華です。2階に上がれるように側に階段を作り、たくさんの柱を立ててその上に板の間を作りました。この建物はどんな用途で使用されていたと思いますか臨流閣は第24代王である東城王(ドンソンワン)が宴場に使っていたとされる場所です。彼は貴族を牽制し王を化させるため、これまでになかった期的な取り組みを試みました。また、高句麗など隣からの侵略を未然に防いだため、自分の力を堂と見せ付けたかったのでしょう。そのため、このような建物を建てたのだとも言われています。,97
20222,蓮池,百時代の蓮池,"公山城の中には3つの蓮池があったとえられています。これまでそのの2つが見されていますが、王宮跡でごになった蓮池とここにある蓮池がそれです。今皆さんがごになっている蓮池も王宮跡で見た蓮池のように石を積み上げて造られたものです。王宮跡の蓮池は円錐形をしていたのに比べて、この蓮池は四角い形をしているのが特です。また、階段のように石が積み上げられていますが、ごのように上部はく、下へ行けば行くほど幅がまっている造りになってます。そのため、この蓮池を上からきむと、まるで韓の石塔を逆さに置いたような印象を受けると言われています。蓮池の西南側には10個の階段が置かれていますが、時これを出入り用の通路として使用し、底まで下りていって水を汲めるようにしたのではないかと推測されています。蓮池のにある統的な韓式の東屋は、百時代以降に建てられた閣です。おそらく、この閣から蓮池を眺めることができたのでしょう。公山城についてのご案は以上で終わりたいと思います。最後までごゆっくりおしみください。",103
20419,石村洞4墳,百墓地の移りわりを見せる4墳,3墳のにあるのが4墳です。外を見ただけではここにある他の古墳とほぼ同じように見えます。しかし、掘調査の結果、お墓の部に石でできた部屋があることが確認され、他の古墳とは異なる造りであることが分かりました。3世紀以前まで、百は韓半島の西南部にあった小のうちの一つに過ぎませんでした。そのため、この時期の王室のお墓は、ここ石村洞にある積石塚の形とは違った可能性が大きいと言われています。その後、百は王を化し、力を伸ばしていきました。この時期の百は、高句麗の影響を受け、3墳のような階段式の大型の積石塚を造ったのではないかとみられています。その後、この4墳のように石の部屋を設けた百自の式へと化したのでしょうね。,71
20418,石村洞3墳,3墳の主,古墳から出土した中の磁の破片から、この3墳は4世紀中旬以降に造られたものと推定されています。こうした古墳の規模や造られた時期から、古墳の主が百初期の全盛期を治めた近肖古王(グンチョゴワン)と呼ばれた王、または彼の息子である可能性が高いとされています。特に、近肖古王は力な王中心の中央集制を整え、百の際的威を高めた王としてく知られています。近肖古王は韓半島の中西部の領有をめぐって、時東アジアのであった隣、高句麗と抗をけました。百の勝利により、この地域を点にした中との活な交流が始まったと言います。また、彼は韓半島の南部地域へとその勢力をげ、隣伽倻(ガヤ、かや)と初めて交流を行なった他、南海岸(ナムへアン)という海岸の沿岸に航路をとり、日本との交流も活に行ないました。結果的にこの時期百は、中、伽倻、そして日本へと際交流の輪をげ、東アジアのとして展していきました。彼は「日本書記」に「肖古王」と記されていますが、時、百の文化が日本にたくさんしたと書き記されています。このように近肖古王は漢城百時代の最も象的な王として、現在までに見された百時代の古墳の中で最も大きい古墳である3墳の主ではないかと考えられています。,118
20418,石村洞3墳,巨大な3墳,石村洞古墳群の正門から見て右側に見える巨大な古墳が3古墳です。この古墳の製作工程を見てみることにしましょう。 まず、地面に泥や砂を敷き、地面が平たくなるようにした後、その上に平べったく削った石を積み上げます。このようにして1段を90cmほど積んだ後、ひと回り小さい石をさらに積み上げ2段とします。その上に3段目を積むのですが、3段目の高さはほかの段の2倍ほどの高さになると言います。掘調査によりこの3段の高さは4mに達するものと判されました。ところが、過去のから、お墓は7段で構成され、高さは7mに達するのではないかという推測も出ています。いずれにせよ、お墓を元通りに復元するということ自が推測に基づくものであるため、ごのように破された3層の姿はそのまま復元することになったと言います。このお墓では中の磁の彫刻や金製の首輪などが出土品として見されましたが、埋葬施設は見されませんでした。高句麗の積石塚の場合、3段の上部に埋設施設が設けられている場合が多く、破された3墳の子から、元あったはずのこのお墓の埋葬施設はれて無くなってしまったと考えられます。,108
20417,石村洞百初期積石塚表示板,石村洞で見された巨大な積石塚古墳,この石村洞(ソクチョンドン)古墳群は紀元前18年から西660年まで、韓半島の西南部を支配していた、百の古墳が集まっている古墳群です。百は建時、現在のソウル近の地域を都としていました。この古墳群は百初期の王族のものだと推定されています。ここにある古墳はすべて石を積み上げて造ったものばかりです。20世紀初期まで、この古墳群には300基以上のお墓があったとされています。その後都市開などが進み、1980年代に本格的な掘調査が行なわれた時には、念なことにに多くの古墳が消えて無くなってしまっていたそうです。今、この場所には5つの大型古墳がありますが、石で正方形の基壇を階段式に積み上げたこの式は、通「ドルムジムドム」、日本語で積石塚と呼ばれるものです。これは隣の高句麗(ゴグリョ、こうくり)のお墓によく似ています。 百は高句麗から南下してきた流民と、に漢江(ハンガン)と呼ばれる川の流域で生活をんでいた人が中心になって建したです。このため百は、建初期から高句麗の影響を多く受けていました。この積石塚もまた、その一例だと言えます。,108
20415,貯穴,土城で見された貯穴,夢村土城の中にある竪穴式住居跡展示館には土城で見された貯用の穴が展示されています。貯穴の外は円形ですが、上がく、下がいフラスコのような形をしています。夢村土城からは、このような貯穴が全部で31個も見つかりました。これまでも、このような穴は銅器時代の住居地から多く見されてきました。夢村土城でも百時代の住居形態である竪穴式住居の周で多く見されたと言います。穴の外に比べて穴の中は、度が一定に保てるため、食べ物を保管する用途で造られたと考えられています。百の人は家の周に食べ物を保管しておき、必要な時に取り出して食べたのでしょう。夢村土城で見された穴のうち、いくつかの穴からは土器などが一に見されたりもしました。これは時の人が祭事の際に用いた土器や食べ物を一に埋めたものだと考えられています。,90
20413,夢村土城,漢城百の王城、夢村土城,1988年のソウルオリンピックを記念して造られたオリンピック公園に位置する夢村土城(モンチョントソン)は韓を代表する古代遺跡です。現在では市民の憩いの場として親しまれていますが、時は、古代の王都を守るためのお城だったと言います。古代のとは、紀元前18年から660年まで、韓半島の西南部を支配していた、百(ベクチェ、くだら)のことを言います。百は建時、現在のソウルの江南(ガンナム)地方を都としていました。その後、百は約500年間、この場所で自の史と文化を花かせます。 漢江の支流、城川(ソンネチョン)にまれた夢村土城は、百の王都を守るために築造されました。長さ約2.3kmの土にまれたお城部の面積はワルドカップ競技場の4倍ほどの大きさを誇ります。この土城は自然の地形を最大限に活かした造りとなっています。必要にじて、なだらかな傾斜部分は土を削って、傾斜をきつくしたり、土地の低い所には、土を盛って城壁を高くしたりしました。このため、土の高さが、一定ではなく、場所によって少しずつ異なるそうです。この土は、大きく2つの建築工法で造られています。土を粘りが出るまで、よく混ぜ、一定の間隔で積み上げていく版築工法と葉のついた枝や葉っぱを敷いて土を盛る敷葉(しきは)工法が用いられました。城壁は水に弱く崩しやすいのですが、これらの工法で積み上げると、水が自然に城壁にしみこんで排水が良くなるため、古代の日本でも堤防や城壁を造る際にく活用されたと言います。夢村土城は4世紀初めに造られたものと推定されています。その後、隣の高句麗(ゴグリョ、こうくり)により首都が落し、6世紀中旬まで、高句麗がこの土城を占していました。長い間忘れられていた夢村土城は、1988年のソウルオリンピックの際に掘調査が行なわれるようになりました。,157
20414,掘と木柵,代表的な防衛施設、掘と木柵,夢村土城は都を敵から守るために造られた城であったため、な防御施設が設けられています。その中でも特に目を引くのが、掘と木柵です。掘は外部からの侵入を防ぐため、お城の周りに掘られた溝のことを言います。韓は山城が中心であるのに比べて、日本は平城が多く、守備目的の掘が比較的多く造られました。日本の掘は水が張られているものと張られていないものとに分けられます。これとは反に韓の掘はお城の周の川を掘にしたり、河川を利用して掘を造ったものがほとんどでした。 夢村土城で見された掘は、漢江(ハンガン)と呼ばれる川の支流である城川の水を利用て、人工的に造ったものです。二つの湖、ソウルオリンピック記念館の前にある夢村湖(モンチョンホ)とオリンピック公園の88湖水(パルパルホス)はまさに、夢村土城をむ水掘を再現したものだと言えます。 次に木柵とは、木の杭を地面に埋めんで造った柵のことを言います。土城の中をいていくと、復元された木柵が現れ、どのような造りなのかを察することができます。土の中の岩盤層に穴を開け、木の杭を一定の間隔で埋めた後、その周にさらに補助杭を立て、支える方法のものですが、高さは優に2mはあったのではないかと推定されています。夢村土城の東側と西側の土でこの木柵が見されたのですが、この他にも所に防御用の木柵が設置されていたと考えられています。 現在はのどかな風景ががる土城ですが、時は敵の侵入を防ぐため、常に緊迫した雰が漂っていたのではないでしょうか。侵入してくる敵は、掘を越えるため、船を浮かべたり、橋を架けたりしなければならなかったはずです。万が一敵が掘を越えるのに成功したとしても、お城を攻するために放った敵の弓は、木柵に突き刺さったことでしょう。このように木柵は、敵が簡にお城に攻めてこれないよう、造られた2次防衛ラインであったと考えられます。,168
